,year,night,frame,channel,path
52,08,211,011,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/211/08_211_011_001_25_R.fits
53,08,211,014,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/211/08_211_014_001_25_R.fits
54,08,211,017,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/211/08_211_017_001_25_R.fits
55,08,211,005,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/211/08_211_005_001_25_B.fits
56,08,211,008,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/211/08_211_008_001_25_B.fits
57,08,211,011,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/211/08_211_011_001_25_B.fits
58,08,211,017,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/211/08_211_017_001_25_B.fits
59,08,211,014,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/211/08_211_014_001_25_B.fits
60,08,133,041,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/133/08_133_041_001_25_R.fits
61,08,133,044,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/133/08_133_044_001_25_R.fits
62,08,133,047,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/133/08_133_047_001_25_R.fits
63,08,133,041,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/133/08_133_041_001_25_B.fits
64,08,133,044,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/133/08_133_044_001_25_B.fits
65,08,133,047,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/133/08_133_047_001_25_B.fits
66,08,134,119,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/134/08_134_119_001_25_R.fits
67,08,134,121,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/134/08_134_121_001_25_R.fits
68,08,134,123,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/134/08_134_123_001_25_R.fits
69,08,134,121,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/134/08_134_121_001_25_B.fits
70,08,134,119,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/134/08_134_119_001_25_B.fits
71,08,134,123,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/134/08_134_123_001_25_B.fits
72,08,129,084,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/129/08_129_084_001_25_R.fits
73,08,129,086,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/129/08_129_086_001_25_R.fits
74,08,129,088,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/129/08_129_088_001_25_R.fits
75,08,129,084,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/129/08_129_084_001_25_B.fits
76,08,129,086,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/129/08_129_086_001_25_B.fits
77,08,129,088,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/129/08_129_088_001_25_B.fits
78,08,252,117,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/252/08_252_117_001_25_R.fits
79,08,252,119,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/252/08_252_119_001_25_R.fits
80,08,252,121,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/252/08_252_121_001_25_R.fits
81,08,252,128,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/252/08_252_128_001_25_R.fits
82,08,252,117,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/252/08_252_117_001_25_B.fits
83,08,252,119,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/252/08_252_119_001_25_B.fits
84,08,252,121,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/252/08_252_121_001_25_B.fits
85,08,252,128,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/252/08_252_128_001_25_B.fits
86,08,179,124,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/179/08_179_124_001_25_R.fits
87,08,179,126,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/179/08_179_126_001_25_R.fits
88,08,179,128,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/179/08_179_128_001_25_R.fits
89,08,179,124,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/179/08_179_124_001_25_B.fits
90,08,179,126,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/179/08_179_126_001_25_B.fits
91,08,179,128,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/179/08_179_128_001_25_B.fits
92,08,167,104,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/167/08_167_104_001_25_R.fits
